source_lang,target_lang,source_text,target_text
hi,te,आप कैसे हैं,మీరు ఎలా ఉన్నారు
ja,pa,私はプログラミングが好きです,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ
hi,en,धन्यवाद,Thank you
en,ja,This is my book,これは私の本です
en,hi,Hello,नमस्ते
en,hi,I love programming,मुझे प्रोग्रामिंग पसंद है
ja,hi,おやすみなさい,शुभ रात्रि
pa,en,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ,This is my book
ja,pa,おはようございます,ਸ਼ੁਭ ਸਵੇਰ
ja,hi,おやすみなさい,शुभ रात्रि
pa,te,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ,నాకు ప్రోగ్రామింగ్ ఇష్టం
hi,ja,धन्यवाद,ありがとうございます
te,en,నమస్తే,Hello
pa,en,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,How are you
pa,en,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,Hello
te,pa,నమస్తే,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
en,te,This is my book,ఇది నా పుస్తకం
pa,en,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,Hello
te,pa,శుభోదయం,ਸ਼ੁਭ ਸਵੇਰ
en,pa,I love programming,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ
te,ja,శుభోదయం,おはようございます
pa,en,ਧੰਨਵਾਦ,Thank you
te,ja,మీరు ఎలా ఉన్నారు,お元気ですか
en,pa,I am a student,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
hi,pa,नमस्ते,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
en,pa,I am a student,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
ja,en,私は学生です,I am a student
hi,en,मुझे प्रोग्रामिंग पसंद है,I love programming
en,te,I love programming,నాకు ప్రోగ్రామింగ్ ఇష్టం
pa,ja,ਸ਼ੁਭ ਰਾਤ,おやすみなさい
hi,pa,मुझे प्रोग्रामिंग पसंद है,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ
te,ja,నమస్తే,こんにちは
hi,pa,आप कैसे हैं,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
en,te,Good morning,శుభోదయం
en,te,This is my book,ఇది నా పుస్తకం
en,ja,I love programming,私はプログラミングが好きです
ja,hi,ようこそ,स्वागत है
pa,te,ਸ਼ੁਭ ਸਵੇਰ,శుభోదయం
ja,pa,こんにちは,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
te,hi,ధన్యవాదాలు,धन्यवाद
te,ja,శుభోదయం,おはようございます
hi,ja,मैं एक छात्र हूँ,私は学生です
te,pa,ఇది నా పుస్తకం,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
hi,ja,यह मेरी किताब है,これは私の本です
en,hi,Welcome,स्वागत है
hi,ja,आप कैसे हैं,お元気ですか
te,ja,శుభోదయం,おはようございます
en,te,I am a student,నేను విద్యార్థిని
en,pa,Hello,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
te,en,నాకు సహాయం కావాలి,I need help
hi,en,शुभ रात्रि,Good night
pa,te,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ,నేను విద్యార్థిని
en,hi,Hello,नमस्ते
ja,en,私はプログラミングが好きです,I love programming
hi,en,धन्यवाद,Thank you
te,hi,ఇది నా పుస్తకం,यह मेरी किताब है
ja,pa,これは私の本です,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
pa,hi,ਧੰਨਵਾਦ,धन्यवाद
ja,pa,これは私の本です,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
ja,te,私は学生です,నేను విద్యార్థిని
hi,pa,स्वागत है,ਸਵਾਗਤ ਹੈ
en,hi,Good morning,सुप्रभात
en,ja,How are you,お元気ですか
te,ja,ఇది నా పుస్తకం,これは私の本です
en,ja,I need help,助けが必要です
en,ja,Thank you,ありがとうございます
ja,te,助けが必要です,నాకు సహాయం కావాలి
ja,te,ようこそ,స్వాగతం
ja,pa,お元気ですか,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
en,pa,Good morning,ਸ਼ੁਭ ਸਵੇਰ
te,en,నాకు ప్రోగ్రామింగ్ ఇష్టం,I love programming
pa,hi,ਧੰਨਵਾਦ,धन्यवाद
hi,ja,शुभ रात्रि,おやすみなさい
ja,hi,お元気ですか,आप कैसे हैं
te,hi,శుభ రాత్రి,शुभ रात्रि
en,pa,I love programming,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ
te,en,నాకు సహాయం కావాలి,I need help
te,ja,ఇది నా పుస్తకం,これは私の本です
ja,te,こんにちは,నమస్తే
ja,pa,おやすみなさい,ਸ਼ੁਭ ਰਾਤ
pa,en,ਧੰਨਵਾਦ,Thank you
pa,hi,ਸ਼ੁਭ ਸਵੇਰ,सुप्रभात
ja,pa,私はプログラミングが好きです,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ
pa,ja,ਸਵਾਗਤ ਹੈ,ようこそ
hi,en,नमस्ते,Hello
hi,pa,स्वागत है,ਸਵਾਗਤ ਹੈ
en,te,Good night,శుభ రాత్రి
en,pa,Good night,ਸ਼ੁਭ ਰਾਤ
hi,pa,नमस्ते,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
ja,pa,おやすみなさい,ਸ਼ੁਭ ਰਾਤ
ja,en,私はプログラミングが好きです,I love programming
ja,pa,こんにちは,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
pa,hi,ਧੰਨਵਾਦ,धन्यवाद
te,hi,శుభ రాత్రి,शुभ रात्रि
pa,ja,ਸ਼ੁਭ ਸਵੇਰ,おはようございます
ja,pa,私は学生です,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
ja,en,おやすみなさい,Good night
en,pa,Good morning,ਸ਼ੁਭ ਸਵੇਰ
ja,en,ありがとうございます,Thank you
en,hi,I need help,मुझे मदद चाहिए
en,te,How are you,మీరు ఎలా ఉన్నారు
hi,pa,मुझे मदद चाहिए,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
te,hi,మీరు ఎలా ఉన్నారు,आप कैसे हैं
ja,en,私は学生です,I am a student
te,hi,శుభోదయం,सुप्रभात
pa,en,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,Hello
hi,en,मुझे प्रोग्रामिंग पसंद है,I love programming
pa,te,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,నాకు సహాయం కావాలి
ja,pa,おやすみなさい,ਸ਼ੁਭ ਰਾਤ
te,en,శుభ రాత్రి,Good night
hi,te,शुभ रात्रि,శుభ రాత్రి
ja,hi,ようこそ,स्वागत है
pa,hi,ਸਵਾਗਤ ਹੈ,स्वागत है
pa,en,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,I need help
hi,ja,यह मेरी किताब है,これは私の本です
en,te,Good night,శుభ రాత్రి
te,pa,ఇది నా పుస్తకం,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
pa,en,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,Hello
ja,en,助けが必要です,I need help
hi,te,मुझे प्रोग्रामिंग पसंद है,నాకు ప్రోగ్రామింగ్ ఇష్టం
te,en,ధన్యవాదాలు,Thank you
hi,te,मुझे प्रोग्रामिंग पसंद है,నాకు ప్రోగ్రామింగ్ ఇష్టం
hi,ja,सुप्रभात,おはようございます
hi,pa,मुझे मदद चाहिए,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
en,hi,Hello,नमस्ते
hi,te,आप कैसे हैं,మీరు ఎలా ఉన్నారు
en,pa,Good night,ਸ਼ੁਭ ਰਾਤ
en,hi,Thank you,धन्यवाद
pa,ja,ਧੰਨਵਾਦ,ありがとうございます
te,pa,శుభోదయం,ਸ਼ੁਭ ਸਵੇਰ
ja,en,おやすみなさい,Good night
pa,en,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ,I love programming
ja,pa,こんにちは,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
te,en,నేను విద్యార్థిని,I am a student
pa,ja,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ,私は学生です
ja,te,おやすみなさい,శుభ రాత్రి
en,pa,This is my book,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
en,ja,Good night,おやすみなさい
pa,te,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,మీరు ఎలా ఉన్నారు
pa,te,ਸ਼ੁਭ ਸਵੇਰ,శుభోదయం
hi,ja,आप कैसे हैं,お元気ですか
ja,hi,お元気ですか,आप कैसे हैं
pa,hi,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ,मैं एक छात्र हूँ
pa,ja,ਸ਼ੁਭ ਸਵੇਰ,おはようございます
ja,pa,ありがとうございます,ਧੰਨਵਾਦ
ja,pa,私は学生です,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
ja,pa,ようこそ,ਸਵਾਗਤ ਹੈ
te,pa,నాకు ప్రోగ్రామింగ్ ఇష్టం,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ
ja,te,これは私の本です,ఇది నా పుస్తకం
pa,te,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,నమస్తే
pa,en,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,I need help
te,en,నాకు ప్రోగ్రామింగ్ ఇష్టం,I love programming
en,ja,Good night,おやすみなさい
pa,hi,ਧੰਨਵਾਦ,धन्यवाद
pa,te,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,నమస్తే
te,pa,స్వాగతం,ਸਵਾਗਤ ਹੈ
ja,te,これは私の本です,ఇది నా పుస్తకం
ja,te,こんにちは,నమస్తే
pa,ja,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,お元気ですか
en,hi,How are you,आप कैसे हैं
pa,hi,ਧੰਨਵਾਦ,धन्यवाद
pa,en,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ,This is my book
pa,ja,ਸ਼ੁਭ ਸਵੇਰ,おはようございます
en,hi,Welcome,स्वागत है
hi,ja,आप कैसे हैं,お元気ですか
pa,ja,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,こんにちは
pa,te,ਧੰਨਵਾਦ,ధన్యవాదాలు
ja,hi,私はプログラミングが好きです,मुझे प्रोग्रामिंग पसंद है
ja,en,おやすみなさい,Good night
en,te,Welcome,స్వాగతం
te,ja,నాకు సహాయం కావాలి,助けが必要です
pa,te,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ,నేను విద్యార్థిని
pa,hi,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,आप कैसे हैं
hi,pa,आप कैसे हैं,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
en,te,I love programming,నాకు ప్రోగ్రామింగ్ ఇష్టం
te,en,శుభోదయం,Good morning
hi,ja,यह मेरी किताब है,これは私の本です
te,pa,శుభోదయం,ਸ਼ੁਭ ਸਵੇਰ
pa,hi,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ,मैं एक छात्र हूँ
pa,ja,ਸਵਾਗਤ ਹੈ,ようこそ
ja,pa,おはようございます,ਸ਼ੁਭ ਸਵੇਰ
en,pa,Hello,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
hi,te,धन्यवाद,ధన్యవాదాలు
pa,hi,ਸਵਾਗਤ ਹੈ,स्वागत है
ja,pa,ありがとうございます,ਧੰਨਵਾਦ
ja,hi,助けが必要です,मुझे मदद चाहिए
en,pa,Good morning,ਸ਼ੁਭ ਸਵੇਰ
ja,pa,こんにちは,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
ja,hi,ありがとうございます,धन्यवाद
hi,pa,यह मेरी किताब है,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
te,en,నేను విద్యార్థిని,I am a student
hi,en,नमस्ते,Hello
pa,en,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ,This is my book
pa,en,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ,This is my book
ja,en,おはようございます,Good morning
ja,pa,こんにちは,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
en,te,Good morning,శుభోదయం
pa,te,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ,నాకు ప్రోగ్రామింగ్ ఇష్టం
te,ja,నాకు సహాయం కావాలి,助けが必要です
te,hi,నాకు సహాయం కావాలి,मुझे मदद चाहिए
pa,en,ਸ਼ੁਭ ਰਾਤ,Good night
en,ja,This is my book,これは私の本です
ja,hi,おはようございます,सुप्रभात
hi,pa,नमस्ते,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
te,hi,ఇది నా పుస్తకం,यह मेरी किताब है
pa,te,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ,ఇది నా పుస్తకం
en,hi,Welcome,स्वागत है
hi,te,स्वागत है,స్వాగతం
hi,ja,आप कैसे हैं,お元気ですか
te,hi,శుభ రాత్రి,शुभ रात्रि
ja,en,私は学生です,I am a student
pa,en,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,I need help
te,en,నాకు ప్రోగ్రామింగ్ ఇష్టం,I love programming
en,ja,Welcome,ようこそ
ja,pa,私は学生です,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
ja,en,おやすみなさい,Good night
en,ja,How are you,お元気ですか
ja,te,ようこそ,స్వాగతం
pa,en,ਧੰਨਵਾਦ,Thank you
hi,en,स्वागत है,Welcome
hi,ja,शुभ रात्रि,おやすみなさい
hi,en,शुभ रात्रि,Good night
te,pa,నేను విద్యార్థిని,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
ja,hi,私は学生です,मैं एक छात्र हूँ
ja,pa,ようこそ,ਸਵਾਗਤ ਹੈ
pa,hi,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,नमस्ते
hi,te,नमस्ते,నమస్తే
te,pa,ధన్యవాదాలు,ਧੰਨਵਾਦ
te,pa,నాకు ప్రోగ్రామింగ్ ఇష్టం,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ
ja,pa,私はプログラミングが好きです,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ
te,en,శుభోదయం,Good morning
en,te,This is my book,ఇది నా పుస్తకం
pa,en,ਸ਼ੁਭ ਰਾਤ,Good night
pa,te,ਧੰਨਵਾਦ,ధన్యవాదాలు
pa,ja,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,こんにちは
en,pa,Good morning,ਸ਼ੁਭ ਸਵੇਰ
pa,te,ਸਵਾਗਤ ਹੈ,స్వాగతం
pa,ja,ਧੰਨਵਾਦ,ありがとうございます
ja,hi,ようこそ,स्वागत है
hi,te,स्वागत है,స్వాగతం
pa,ja,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,助けが必要です
pa,en,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,How are you
hi,en,मैं एक छात्र हूँ,I am a student
ja,en,お元気ですか,How are you
ja,pa,おはようございます,ਸ਼ੁਭ ਸਵੇਰ
pa,ja,ਸ਼ੁਭ ਸਵੇਰ,おはようございます
en,te,This is my book,ఇది నా పుస్తకం
en,ja,This is my book,これは私の本です
hi,en,धन्यवाद,Thank you
hi,ja,यह मेरी किताब है,これは私の本です
en,te,Thank you,ధన్యవాదాలు
en,pa,Good night,ਸ਼ੁਭ ਰਾਤ
te,pa,నమస్తే,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
te,ja,స్వాగతం,ようこそ
te,en,నాకు సహాయం కావాలి,I need help
pa,ja,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,助けが必要です
hi,ja,मुझे प्रोग्रामिंग पसंद है,私はプログラミングが好きです
pa,hi,ਧੰਨਵਾਦ,धन्यवाद
te,en,శుభోదయం,Good morning
hi,ja,सुप्रभात,おはようございます
pa,hi,ਸਵਾਗਤ ਹੈ,स्वागत है
ja,hi,これは私の本です,यह मेरी किताब है
en,ja,I love programming,私はプログラミングが好きです
hi,te,यह मेरी किताब है,ఇది నా పుస్తకం
ja,hi,私は学生です,मैं एक छात्र हूँ
en,hi,Good night,शुभ रात्रि
pa,en,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,How are you
hi,pa,शुभ रात्रि,ਸ਼ੁਭ ਰਾਤ
ja,pa,ありがとうございます,ਧੰਨਵਾਦ
te,en,మీరు ఎలా ఉన్నారు,How are you
pa,hi,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ,मैं एक छात्र हूँ
te,ja,స్వాగతం,ようこそ
pa,en,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ,This is my book
pa,hi,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,आप कैसे हैं
ja,te,ようこそ,స్వాగతం
ja,en,こんにちは,Hello
hi,te,आप कैसे हैं,మీరు ఎలా ఉన్నారు
ja,te,これは私の本です,ఇది నా పుస్తకం
te,ja,నాకు ప్రోగ్రామింగ్ ఇష్టం,私はプログラミングが好きです
pa,te,ਧੰਨਵਾਦ,ధన్యవాదాలు
hi,en,धन्यवाद,Thank you
pa,en,ਸ਼ੁਭ ਸਵੇਰ,Good morning
en,ja,How are you,お元気ですか
en,ja,I need help,助けが必要です
ja,te,お元気ですか,మీరు ఎలా ఉన్నారు
ja,en,お元気ですか,How are you
hi,te,स्वागत है,స్వాగతం
pa,te,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ,నాకు ప్రోగ్రామింగ్ ఇష్టం
pa,en,ਸ਼ੁਭ ਰਾਤ,Good night
hi,pa,मुझे प्रोग्रामिंग पसंद है,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ
hi,pa,आप कैसे हैं,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
pa,ja,ਸ਼ੁਭ ਰਾਤ,おやすみなさい
en,hi,Thank you,धन्यवाद
hi,en,मुझे प्रोग्रामिंग पसंद है,I love programming
hi,en,नमस्ते,Hello
ja,te,ようこそ,స్వాగతం
te,hi,ధన్యవాదాలు,धन्यवाद
te,ja,నాకు ప్రోగ్రామింగ్ ఇష్టం,私はプログラミングが好きです
hi,te,सुप्रभात,శుభోదయం
ja,hi,私は学生です,मैं एक छात्र हूँ
en,te,Thank you,ధన్యవాదాలు
hi,te,शुभ रात्रि,శుభ రాత్రి
te,ja,ధన్యవాదాలు,ありがとうございます
pa,en,ਧੰਨਵਾਦ,Thank you
pa,te,ਧੰਨਵਾਦ,ధన్యవాదాలు
pa,hi,ਧੰਨਵਾਦ,धन्यवाद
ja,hi,助けが必要です,मुझे मदद चाहिए
pa,te,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,మీరు ఎలా ఉన్నారు
te,ja,మీరు ఎలా ఉన్నారు,お元気ですか
pa,te,ਧੰਨਵਾਦ,ధన్యవాదాలు
pa,ja,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,こんにちは
te,ja,నమస్తే,こんにちは
ja,en,ようこそ,Welcome
pa,en,ਧੰਨਵਾਦ,Thank you
te,en,శుభోదయం,Good morning
ja,pa,私はプログラミングが好きです,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ
en,pa,How are you,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
te,en,శుభోదయం,Good morning
en,hi,Good night,शुभ रात्रि
te,pa,నేను విద్యార్థిని,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
en,hi,Hello,नमस्ते
te,ja,ఇది నా పుస్తకం,これは私の本です
te,pa,స్వాగతం,ਸਵਾਗਤ ਹੈ
ja,te,こんにちは,నమస్తే
te,pa,ఇది నా పుస్తకం,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
en,pa,Welcome,ਸਵਾਗਤ ਹੈ
pa,en,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,I need help
pa,ja,ਧੰਨਵਾਦ,ありがとうございます
hi,ja,सुप्रभात,おはようございます
te,pa,మీరు ఎలా ఉన్నారు,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
pa,te,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ,ఇది నా పుస్తకం
hi,te,मुझे प्रोग्रामिंग पसंद है,నాకు ప్రోగ్రామింగ్ ఇష్టం
ja,hi,ありがとうございます,धन्यवाद
pa,hi,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ,मुझे प्रोग्रामिंग पसंद है
en,pa,Good night,ਸ਼ੁਭ ਰਾਤ
hi,en,यह मेरी किताब है,This is my book
pa,en,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,Hello
en,ja,I am a student,私は学生です
hi,pa,यह मेरी किताब है,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
hi,te,यह मेरी किताब है,ఇది నా పుస్తకం
hi,pa,नमस्ते,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
te,hi,నాకు ప్రోగ్రామింగ్ ఇష్టం,मुझे प्रोग्रामिंग पसंद है
ja,hi,ありがとうございます,धन्यवाद
te,hi,నాకు సహాయం కావాలి,मुझे मदद चाहिए
ja,hi,ありがとうございます,धन्यवाद
pa,en,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,How are you
en,ja,I am a student,私は学生です
te,pa,నాకు సహాయం కావాలి,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
ja,pa,これは私の本です,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
hi,pa,मुझे मदद चाहिए,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
hi,te,आप कैसे हैं,మీరు ఎలా ఉన్నారు
pa,ja,ਧੰਨਵਾਦ,ありがとうございます
en,hi,This is my book,यह मेरी किताब है
hi,ja,मुझे मदद चाहिए,助けが必要です
ja,en,私は学生です,I am a student
te,pa,శుభ రాత్రి,ਸ਼ੁਭ ਰਾਤ
en,ja,I am a student,私は学生です
ja,te,おやすみなさい,శుభ రాత్రి
pa,hi,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,मुझे मदद चाहिए
en,pa,I love programming,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ
en,pa,Good morning,ਸ਼ੁਭ ਸਵੇਰ
hi,te,आप कैसे हैं,మీరు ఎలా ఉన్నారు
pa,te,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,నాకు సహాయం కావాలి
hi,ja,सुप्रभात,おはようございます
te,en,స్వాగతం,Welcome
hi,te,आप कैसे हैं,మీరు ఎలా ఉన్నారు
ja,hi,私はプログラミングが好きです,मुझे प्रोग्रामिंग पसंद है
ja,hi,これは私の本です,यह मेरी किताब है
hi,en,मुझे मदद चाहिए,I need help
te,ja,ఇది నా పుస్తకం,これは私の本です
ja,hi,ようこそ,स्वागत है
te,hi,నాకు సహాయం కావాలి,मुझे मदद चाहिए
hi,pa,मुझे प्रोग्रामिंग पसंद है,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ
hi,en,मैं एक छात्र हूँ,I am a student
en,ja,Welcome,ようこそ
hi,te,आप कैसे हैं,మీరు ఎలా ఉన్నారు
en,ja,Good night,おやすみなさい
ja,hi,おやすみなさい,शुभ रात्रि
te,ja,నాకు ప్రోగ్రామింగ్ ఇష్టం,私はプログラミングが好きです
hi,en,मुझे प्रोग्रामिंग पसंद है,I love programming
en,pa,Good morning,ਸ਼ੁਭ ਸਵੇਰ
ja,hi,お元気ですか,आप कैसे हैं
pa,ja,ਧੰਨਵਾਦ,ありがとうございます
pa,ja,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,お元気ですか
pa,hi,ਸ਼ੁਭ ਸਵੇਰ,सुप्रभात
en,te,I am a student,నేను విద్యార్థిని
pa,te,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,నమస్తే
hi,pa,मुझे मदद चाहिए,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
hi,te,शुभ रात्रि,శుభ రాత్రి
hi,ja,नमस्ते,こんにちは
en,te,I love programming,నాకు ప్రోగ్రామింగ్ ఇష్టం
hi,te,धन्यवाद,ధన్యవాదాలు
hi,en,मुझे प्रोग्रामिंग पसंद है,I love programming
hi,te,आप कैसे हैं,మీరు ఎలా ఉన్నారు
